drug_name,ddinter_id
Abacavir,DDInter1
Abaloparatide,DDInter2
Abametapir (topical),DDInter3
Abarelix,DDInter4
Abatacept,DDInter5
Abciximab,DDInter6
Abemaciclib,DDInter7
Abiraterone,DDInter8
Acalabrutinib,DDInter9
Acamprosate,DDInter10
Acarbose,DDInter11
Acebutolol,DDInter12
Acenocoumarol,DDInter13
Acetaminophen,DDInter14
Acetazolamide,DDInter15
Acetohexamide,DDInter16
Acetylcholine,DDInter18
Acetylcysteine,DDInter19
Acetylsalicylic acid,DDInter20
Acitretin,DDInter21
Aclidinium,DDInter22
Acrivastine,DDInter23
Activated charcoal,DDInter24
Acyclovir,DDInter25
Acyclovir (topical),DDInter26
Adalimumab,DDInter27
Adapalene,DDInter28
Adapalene (topical),DDInter29
Adefovir dipivoxil,DDInter30
Adenosine,DDInter31
Afatinib,DDInter32
Aflibercept,DDInter33
Agalsidase beta,DDInter34
Albendazole,DDInter35
Albiglutide,DDInter36
Alclometasone (topical),DDInter37
Aldesleukin,DDInter38
Alectinib,DDInter39
Alefacept,DDInter40
Alemtuzumab,DDInter41
Alendronic acid,DDInter42
Alfentanil,DDInter43
Alfuzosin,DDInter44
Alimemazine,DDInter45
Aliskiren,DDInter46
Alitretinoin (topical),DDInter47
Allopurinol,DDInter48
Almotriptan,DDInter49
Aloe Vera Leaf,DDInter50
Alogliptin,DDInter51
Alosetron,DDInter52
Alpelisib,DDInter53
Alprazolam,DDInter54
Alprostadil,DDInter55
Alteplase,DDInter56
Altretamine,DDInter57
Aluminum hydroxide,DDInter58
Alvimopan,DDInter59
Amantadine,DDInter60
Ambenonium,DDInter61
Ambrisentan,DDInter62
Amcinonide,DDInter63
Amifampridine,DDInter64
Amifostine,DDInter65
Amikacin,DDInter66
Amikacin (liposome),DDInter67
Amiloride,DDInter68
Aminobenzoic acid,DDInter69
Aminocaproic acid,DDInter70
Aminoglutethimide,DDInter71
Aminolevulinic acid,DDInter72
Aminolevulinic acid (topical),DDInter73
Aminophylline,DDInter74
Aminosalicylic acid,DDInter75
Amiodarone,DDInter76
Amisulpride,DDInter77
Amitriptyline,DDInter78
Amlodipine,DDInter79
Ammonium chloride,DDInter80
Amobarbital,DDInter81
Amoxapine,DDInter82
Amoxicillin,DDInter83
Amphetamine,DDInter84
Amphotericin B,DDInter85
Amphotericin B (cholesteryl sulfate),DDInter86
Amphotericin B (lipid complex),DDInter87
Amphotericin B (liposomal),DDInter88
Ampicillin,DDInter89
Amprenavir,DDInter90
Amyl Nitrite,DDInter92
Anagrelide,DDInter93
Anakinra,DDInter94
Anastrozole,DDInter95
Anisindione,DDInter98
Anistreplase,DDInter99
Anthrax vaccine,DDInter100
Anti-inhibitor coagulant complex,DDInter101
"Antihemophilic factor, human recombinant",DDInter102
Antilymphocyte immunoglobulin (horse),DDInter103
Antithrombin Alfa,DDInter104
Antithrombin III human,DDInter105
Antithymocyte immunoglobulin (rabbit),DDInter106
Apalutamide,DDInter107
Apixaban,DDInter108
Apomorphine,DDInter109
Apraclonidine,DDInter110
Apremilast,DDInter111
Aprepitant,DDInter112
Aprotinin,DDInter113
Arbutamine,DDInter114
Ardeparin,DDInter115
Arformoterol,DDInter116
Argatroban,DDInter117
Aripiprazole,DDInter118
Armodafinil,DDInter119
Arsenic trioxide,DDInter120
Artemether,DDInter121
Artesunate,DDInter122
Articaine,DDInter123
Ascorbic acid,DDInter124
Asenapine,DDInter125
Asparaginase Erwinia chrysanthemi,DDInter126
Asparaginase Escherichia coli,DDInter127
Astemizole,DDInter128
Atazanavir,DDInter129
Atenolol,DDInter130
Atezolizumab,DDInter131
Atomoxetine,DDInter132
Atorvastatin,DDInter133
Atovaquone,DDInter134
Atracurium,DDInter135
Atropine,DDInter136
Atropine (ophthalmic),DDInter137
Attapulgite,DDInter138
Auranofin,DDInter139
Aurothioglucose,DDInter140
Avanafil,DDInter141
Avapritinib,DDInter142
Avatrombopag,DDInter143
Axicabtagene ciloleucel,DDInter146
Axitinib,DDInter147
Azacitidine,DDInter148
Azatadine,DDInter149
Azathioprine,DDInter150
Azelaic acid,DDInter151
Azelaic acid (topical),DDInter152
Azelastine,DDInter153
Azelastine (nasal),DDInter154
Azelastine (ophthalmic),DDInter155
Azilsartan medoxomil,DDInter156
Azithromycin,DDInter157
Aztreonam,DDInter158
Bacampicillin,DDInter159
Bacillus calmette-guerin substrain tice live antigen,DDInter160
Bacitracin,DDInter161
Baclofen,DDInter162
Baloxavir marboxil,DDInter163
Balsalazide,DDInter164
Baricitinib,DDInter165
Basiliximab,DDInter166
Beclomethasone dipropionate,DDInter168
Beclomethasone dipropionate (nasal),DDInter169
Bedaquiline,DDInter170
Belantamab mafodotin,DDInter171
Belatacept,DDInter172
